id;name;description;start_date;end_date;image_url;latitude;category;longitude;address
1;Tuna integrated deposit;holistic SAS;2023-03-08;2023-03-08;deposit Awesome Fresh;86647;Webinar;36216;Mouse high-level architectures
2;monetize;Bedfordshire strategic;2023-03-07;2023-03-07;Triple-buffered;17832;Sport;83878;radical transmitting
3;Accounts;portals Ergonomic payment;2023-03-07;2023-03-07;copy robust;29374;Meetup;92941;success withdrawal withdrawal
4;Garden;Rustic;2023-03-08;2023-03-07;Bedfordshire deposit;18829;Meetup;53083;Somoni transitional
5;mint AI;PCI Cuban Fresh;2023-03-07;2023-03-08;up modular;30823;Conference;37544;THX overriding
6;Direct;Steel;2023-03-08;2023-03-08;Music Hill;46613;Seminar;98188;benchmark deposit Steel
7;Future;Infrastructure;2023-03-07;2023-03-07;calculating;57920;Sport;39738;transmitting Tuna
8;Brazilian Solomon deposit;optical Belarus Checking;2023-03-07;2023-03-08;incentivize;97050;Seminar;89382;Savings indigo
9;cyan;JBOD invoice Beauty;2023-03-08;2023-03-08;Cove;19658;Conference;74060;Armenian
10;clicks-and-mortar model Ball;Alaska navigate;2023-03-08;2023-03-08;Nuevo e-tailers Card;52323;Webinar;95750;TCP Music
